"card_id","card_name","set_id","price_euros","rarity","artist"
"base2-19","Flareon","base2",6.49,"Rare","Kagemaru Himeno"
"base2-2","Electrode","base2",16.53,"Rare Holo","Mitsuhiro Arita"
"base2-20","Jolteon","base2",7.14,"Rare","Kagemaru Himeno"
"base2-21","Kangaskhan","base2",6.17,"Rare","Mitsuhiro Arita"
"base2-22","Mr. Mime","base2",3.23,"Rare","Ken Sugimori"
"base2-23","Nidoqueen","base2",4.98,"Rare","Ken Sugimori"
"base2-24","Pidgeot","base2",3.74,"Rare","Kagemaru Himeno"
"base2-25","Pinsir","base2",3.77,"Rare","Kagemaru Himeno"
"base2-26","Scyther","base2",5.86,"Rare","Ken Sugimori"
"base2-27","Snorlax","base2",5.81,"Rare","Ken Sugimori"
"base2-28","Vaporeon","base2",5.45,"Rare","Kagemaru Himeno"
"base2-29","Venomoth","base2",3.71,"Rare","Ken Sugimori"
"base2-3","Flareon","base2",42.83,"Rare Holo","Kagemaru Himeno"
"base2-30","Victreebel","base2",3.66,"Rare","Ken Sugimori"
"base2-31","Vileplume","base2",3.44,"Rare","Keiji Kinebuchi"
"base2-32","Wigglytuff","base2",3.72,"Rare","Mitsuhiro Arita"
"base2-4","Jolteon","base2",24.67,"Rare Holo","Kagemaru Himeno"
"base2-5","Kangaskhan","base2",6.24,"Rare Holo","Mitsuhiro Arita"
"base2-6","Mr. Mime","base2",15.93,"Rare Holo","Ken Sugimori"
"base2-7","Nidoqueen","base2",21.26,"Rare Holo","Ken Sugimori"
"base2-8","Pidgeot","base2",23.67,"Rare Holo","Kagemaru Himeno"
"base2-9","Pinsir","base2",13.15,"Rare Holo","Kagemaru Himeno"
"base3-1","Aerodactyl","base3",15.61,"Rare Holo","Kagemaru Himeno"
"base3-10","Lapras","base3",11.78,"Rare Holo","Ken Sugimori"
"base3-11","Magneton","base3",14.35,"Rare Holo","Ken Sugimori"
"base3-12","Moltres","base3",37.46,"Rare Holo","Mitsuhiro Arita"
"base3-13","Muk","base3",6.15,"Rare Holo","Mitsuhiro Arita"
"base3-14","Raichu","base3",22.58,"Rare Holo","Mitsuhiro Arita"
"base3-15","Zapdos","base3",45.77,"Rare Holo","Mitsuhiro Arita"
"base3-16","Aerodactyl","base3",6.4,"Rare","Kagemaru Himeno"
"base3-17","Articuno","base3",8.09,"Rare","Mitsuhiro Arita"
"base3-18","Ditto","base3",5.23,"Rare","Keiji Kinebuchi"
"base3-19","Dragonite","base3",10.8,"Rare","Kagemaru Himeno"
"base3-2","Articuno","base3",31.8,"Rare Holo","Mitsuhiro Arita"
"base3-20","Gengar","base3",8.36,"Rare","Keiji Kinebuchi"
"base3-21","Haunter","base3",4.99,"Rare","Ken Sugimori"
"base3-22","Hitmonlee","base3",5.32,"Rare","Ken Sugimori"
"base3-23","Hypno","base3",7.26,"Rare","Ken Sugimori"
"base3-24","Kabutops","base3",5.69,"Rare","Ken Sugimori"
"base3-25","Lapras","base3",5.28,"Rare","Ken Sugimori"
"base3-26","Magneton","base3",4.6,"Rare","Ken Sugimori"
"base3-27","Moltres","base3",6.67,"Rare","Mitsuhiro Arita"
"base3-28","Muk","base3",5.5,"Rare","Mitsuhiro Arita"
"base3-29","Raichu","base3",4.37,"Rare","Mitsuhiro Arita"
"base3-3","Ditto","base3",22,"Rare Holo","Keiji Kinebuchi"
"base3-30","Zapdos","base3",7.34,"Rare","Mitsuhiro Arita"
"base3-4","Dragonite","base3",65.36,"Rare Holo","Kagemaru Himeno"
"base3-5","Gengar","base3",47.89,"Rare Holo","Keiji Kinebuchi"
"base3-6","Haunter","base3",13.47,"Rare Holo","Ken Sugimori"
"base3-7","Hitmonlee","base3",25.83,"Rare Holo","Ken Sugimori"
"base3-8","Hypno","base3",19.74,"Rare Holo","Ken Sugimori"
"base3-9","Kabutops","base3",21.26,"Rare Holo","Ken Sugimori"
"base4-1","Alakazam","base4",16.55,"Rare Holo","Ken Sugimori"
"base4-10","Mewtwo","base4",19.41,"Rare Holo","Ken Sugimori"
"base4-11","Nidoking","base4",12.71,"Rare Holo","Ken Sugimori"
"base4-12","Nidoqueen","base4",12.28,"Rare Holo","Ken Sugimori"
"base4-13","Ninetales","base4",13.52,"Rare Holo","Ken Sugimori"
"base4-14","Pidgeot","base4",11.78,"Rare Holo","Kagemaru Himeno"
"base4-15","Poliwrath","base4",6.02,"Rare Holo","Ken Sugimori"
"base4-16","Raichu","base4",28.1,"Rare Holo","Ken Sugimori"
"base4-17","Scyther","base4",12.82,"Rare Holo","Ken Sugimori"
"base4-18","Venusaur","base4",32.97,"Rare Holo","Mitsuhiro Arita"
"base4-19","Wigglytuff","base4",6.41,"Rare Holo","Mitsuhiro Arita"
"base4-2","Blastoise","base4",51.36,"Rare Holo","Ken Sugimori"
"base4-20","Zapdos","base4",18.33,"Rare Holo","Ken Sugimori"
"base4-21","Beedrill","base4",3.31,"Rare","Ken Sugimori"
"base4-22","Dragonair","base4",4.5,"Rare","Mitsuhiro Arita"
"base4-23","Dugtrio","base4",2.86,"Rare","Keiji Kinebuchi"
"base4-24","Electabuzz","base4",3.43,"Rare","Ken Sugimori"
"base4-25","Electrode","base4",2.18,"Rare","Keiji Kinebuchi"
"base4-26","Kangaskhan","base4",3.61,"Rare","Mitsuhiro Arita"
"base4-27","Mr. Mime","base4",3.36,"Rare","Ken Sugimori"
"base4-28","Pidgeotto","base4",3.88,"Rare","Ken Sugimori"
"base4-29","Pinsir","base4",3.87,"Rare","Kagemaru Himeno"
"base4-3","Chansey","base4",9.5,"Rare Holo","Ken Sugimori"
"base4-30","Snorlax","base4",5.61,"Rare","Ken Sugimori"
"base4-31","Venomoth","base4",2.81,"Rare","Ken Sugimori"
"base4-32","Victreebel","base4",3.83,"Rare","Ken Sugimori"
"base4-4","Charizard","base4",210.85,"Rare Holo","Mitsuhiro Arita"
"base4-5","Clefable","base4",11.26,"Rare Holo","Mitsuhiro Arita"
"base4-6","Clefairy","base4",6.92,"Rare Holo","Ken Sugimori"
"base4-7","Gyarados","base4",11.97,"Rare Holo","Mitsuhiro Arita"
"base4-8","Hitmonchan","base4",11.2,"Rare Holo","Ken Sugimori"
"base4-9","Magneton","base4",10.62,"Rare Holo","Keiji Kinebuchi"
"base5-1","Dark Alakazam","base5",35.01,"Rare Holo","Ken Sugimori"
"base5-10","Dark Machamp","base5",31.58,"Rare Holo","Mitsuhiro Arita"
"base5-11","Dark Magneton","base5",23.07,"Rare Holo","Miki Tanaka"
"base5-12","Dark Slowbro","base5",25.09,"Rare Holo","Mitsuhiro Arita"
"base5-13","Dark Vileplume","base5",21.68,"Rare Holo","Kagemaru Himeno"
"base5-14","Dark Weezing","base5",5.81,"Rare Holo","Shin-ichi Yoshida"
"base5-18","Dark Alakazam","base5",8.6,"Rare","Ken Sugimori"
"base5-19","Dark Arbok","base5",7.67,"Rare","Mitsuhiro Arita"
"base5-2","Dark Arbok","base5",6.44,"Rare Holo","Mitsuhiro Arita"
"base5-20","Dark Blastoise","base5",19.73,"Rare","Mitsuhiro Arita"
"base5-21","Dark Charizard","base5",37.66,"Rare","Ken Sugimori"
"base5-22","Dark Dragonite","base5",17.21,"Rare","Mitsuhiro Arita"
"base5-23","Dark Dugtrio","base5",5.32,"Rare","Kagemaru Himeno"
"base5-24","Dark Golbat","base5",5.75,"Rare","Mitsuhiro Arita"
"base5-25","Dark Gyarados","base5",10.97,"Rare","Kagemaru Himeno"
"base5-26","Dark Hypno","base5",4.82,"Rare","Kagemaru Himeno"
"base5-27","Dark Machamp","base5",4.36,"Rare","Mitsuhiro Arita"
"base5-28","Dark Magneton","base5",5.63,"Rare","Miki Tanaka"
"base5-29","Dark Slowbro","base5",7.79,"Rare","Mitsuhiro Arita"
"base5-3","Dark Blastoise","base5",86.04,"Rare Holo","Mitsuhiro Arita"
"base5-30","Dark Vileplume","base5",5.22,"Rare","Kagemaru Himeno"
"base5-31","Dark Weezing","base5",5.1,"Rare","Shin-ichi Yoshida"
"base5-4","Dark Charizard","base5",110.42,"Rare Holo","Ken Sugimori"
"base5-5","Dark Dragonite","base5",73.63,"Rare Holo","Mitsuhiro Arita"
"base5-6","Dark Dugtrio","base5",23.87,"Rare Holo","Kagemaru Himeno"
"base5-7","Dark Golbat","base5",20.12,"Rare Holo","Mitsuhiro Arita"
"base5-8","Dark Gyarados","base5",18.47,"Rare Holo","Kagemaru Himeno"
"base5-83","Dark Raichu","base5",56.16,"Rare Secret","Mitsuhiro Arita"
"base5-9","Dark Hypno","base5",19,"Rare Holo","Kagemaru Himeno"
"base6-1","Alakazam","base6",9.33,"Rare Holo","Ken Sugimori"
"base6-10","Flareon","base6",6.9,"Rare Holo","Kagemaru Himeno"
"base6-11","Gengar","base6",8.5,"Rare Holo","Keiji Kinebuchi"
"base6-12","Gyarados","base6",17.37,"Rare Holo","Mitsuhiro Arita"
"base6-13","Hitmonlee","base6",10.87,"Rare Holo","Ken Sugimori"
"base6-14","Jolteon","base6",7.34,"Rare Holo","Kagemaru Himeno"
"base6-15","Machamp","base6",3,"Rare Holo","Ken Sugimori"
"base6-16","Muk","base6",4.79,"Rare Holo","Mitsuhiro Arita"
"base6-17","Ninetales","base6",9.75,"Rare Holo","Ken Sugimori"
"base6-18","Venusaur","base6",39.99,"Rare Holo","Mitsuhiro Arita"
"base6-19","Zapdos","base6",9.24,"Rare Holo","Ken Sugimori"
"base6-2","Articuno","base6",15.24,"Rare Holo","Mitsuhiro Arita"
"base6-20","Beedrill","base6",2.13,"Rare","Ken Sugimori"
"base6-21","Butterfree","base6",2.77,"Rare","Kagemaru Himeno"
"base6-22","Electrode","base6",1.58,"Rare","Mitsuhiro Arita"
"base6-23","Exeggutor","base6",1.08,"Rare","Kagemaru Himeno"
"base6-24","Golem","base6",2.73,"Rare","Kagemaru Himeno"
"base6-25","Hypno","base6",6.06,"Rare","Ken Sugimori"
"base6-26","Jynx","base6",3.33,"Rare","Ken Sugimori"
"base6-27","Kabutops","base6",3.22,"Rare","Ken Sugimori"
"base6-28","Magneton","base6",3,"Rare","Ken Sugimori"
"base6-29","Mewtwo","base6",26.33,"Rare","Christopher Rush"
"base6-3","Charizard","base6",77.49,"Rare Holo","Mitsuhiro Arita"
"base6-30","Moltres","base6",4.38,"Rare","Mitsuhiro Arita"
"base6-31","Nidoking","base6",4.24,"Rare","Ken Sugimori"
"base6-32","Nidoqueen","base6",2.41,"Rare","Ken Sugimori"
"base6-33","Pidgeot","base6",4.89,"Rare","Kagemaru Himeno"
"base6-34","Pidgeotto","base6",2.2,"Rare","Ken Sugimori"
"base6-35","Rhydon","base6",3.61,"Rare","Kagemaru Himeno"
"base6-4","Dark Blastoise","base6",31.63,"Rare Holo","Mitsuhiro Arita"
"base6-5","Dark Dragonite","base6",13.9,"Rare Holo","Mitsuhiro Arita"
"base6-6","Dark Persian","base6",9.47,"Rare Holo","Shin-ichi Yoshida"
"base6-7","Dark Raichu","base6",42.33,"Rare Holo","Mitsuhiro Arita"
"base6-8","Dark Slowbro","base6",7.88,"Rare Holo","Mitsuhiro Arita"
"base6-9","Dark Vaporeon","base6",66.88,"Rare Holo","Mitsuhiro Arita"
"basep-1","Pikachu","basep",10.82,"Promo","Keiji Kinebuchi"
"basep-10","Meowth","basep",3.67,"Promo","Kagemaru Himeno"
"basep-11","Eevee","basep",100,"Promo","Kagemaru Himeno"
"basep-12","Mewtwo","basep",69.75,"Promo","Christopher Rush"
"basep-13","Venusaur","basep",59.16,"Promo","Ken Sugimori"
"basep-14","Mewtwo","basep",3.55,"Promo","Benimaru Itoh"
"basep-15","Cool Porygon","basep",28.21,"Promo","Hiromichi Sugiyama"
"basep-17","Dark Persian","basep",13.86,"Promo","Ken Sugimori"
"basep-18","Team Rocket's Meowth","basep",6.7,"Promo","Kunihiko Yuyama"
"basep-19","Sabrina's Abra","basep",4.09,"Promo","Atsuko Nishida"
"basep-2","Electabuzz","basep",2.82,"Promo","Ken Sugimori"
"basep-20","Psyduck","basep",9.76,"Promo","Kagemaru Himeno"
"basep-21","Moltres","basep",6.16,"Promo","Toshinao Aoki"
"basep-22","Articuno","basep",5.2,"Promo","Toshinao Aoki"
"basep-23","Zapdos","basep",5.7,"Promo","Toshinao Aoki"
"basep-24","_____'s Pikachu","basep",205,"Promo","Kagemaru Himeno"
"basep-25","Flying Pikachu","basep",29.11,"Promo","Toshinao Aoki"
"basep-26","Pikachu","basep",12.26,"Promo","Gakuji Nomoto"
"basep-27","Pikachu","basep",9.82,"Promo","Atsuko Nishida"
"basep-28","Surfing Pikachu","basep",12.79,"Promo","Toshinao Aoki"
"basep-29","Marill","basep",4.49,"Promo","Ken Sugimori"
"basep-3","Mewtwo","basep",9,"Promo","Ken Sugimori"
"basep-30","Togepi","basep",2.28,"Promo","Ken Sugimori"
"basep-31","Cleffa","basep",3.68,"Promo","Ken Sugimori"
"basep-32","Smeargle","basep",2.14,"Promo","Tomokazu Komiya"
"basep-33","Scizor","basep",4.03,"Promo","Hironobu Yoshida"
"basep-34","Entei","basep",11.35,"Promo","Ken Sugimori"
"basep-35","Pichu","basep",19.22,"Promo","Ken Sugimori"
"basep-36","Igglybuff","basep",5.45,"Promo","Kagemaru Himeno"
"basep-37","Hitmontop","basep",2.39,"Promo","Atsuko Nishida"
"basep-38","Unown [J]","basep",3.1,"Promo","Hideki Kazama"
"basep-39","Misdreavus","basep",2.1,"Promo","Shin-ichi Yoshida"
"basep-4","Pikachu","basep",7.5,"Promo","Ken Sugimori"
"basep-43","Machamp","basep",8.95,"Promo","Tomokazu Komiya"
"basep-44","Magmar","basep",5.8,"Promo","Atsuko Nishida"
"basep-45","Scyther","basep",20.48,"Promo","Hironobu Yoshida"
"basep-46","Electabuzz","basep",13.16,"Promo","Miki Tanaka"
"basep-47","Mew","basep",31.56,"Promo","Ken Sugimori"
"basep-48","Articuno","basep",19.14,"Promo","Atsuko Nishida"
"basep-49","Snorlax","basep",48.68,"Promo","Craig Turvey"
"basep-5","Dragonite","basep",8.18,"Promo","Toshinao Aoki"
"basep-50","Celebi","basep",31.77,"Promo","Hajime Kusajima"
"basep-51","Rapidash","basep",26,"Promo","Mitsuhiro Arita"
"basep-52","Ho-oh","basep",25,"Promo","Mitsuhiro Arita"
"basep-53","Suicune","basep",75.48,"Promo","Atsuko Nishida"
"basep-6","Arcanine","basep",6,"Promo","Ken Sugimori"
"basep-7","Jigglypuff","basep",7.97,"Promo","Keiji Kinebuchi"
"basep-8","Mew","basep",2.92,"Promo","Ken Sugimori"
"basep-9","Mew","basep",25.41,"Promo","Ken Sugimori"
"bp-1","Electabuzz","bp",20.24,"Promo","Ken Sugimori"
"bp-2","Hitmonchan","bp",29.99,"Promo","Ken Sugimori"
"bp-4","Rocket's Scizor","bp",10.41,"Promo","K Hoshiba"
"bp-5","Rocket's Sneasel","bp",11.99,"Promo","Katsura Tabata"
"bp-6","Dark Ivysaur","bp",0,"Promo","Shin-ichi Yoshida"
"bp-7","Dark Venusaur","bp",36.99,"Promo","Shin-ichi Yoshida"
"bp-8","Rocket's Mewtwo","bp",84.99,"Promo","Shin-ichi Yoshida"
"bp-9","Rocket's Hitmonchan","bp",56.99,"Promo","Ken Sugimori"
"bw1-10","Lilligant","bw1",1.02,"Rare","Atsuko Nishida"
"bw1-113","Reshiram","bw1",10.9,"Rare Ultra","5ban Graphics"
"bw1-114","Zekrom","bw1",8.73,"Rare Ultra","5ban Graphics"
"bw1-115","Pikachu","bw1",29.58,"Rare Secret","Kouki Saitou"
"bw1-12","Maractus","bw1",0.4,"Rare","Kouki Saitou"
"bw1-14","Sawsbuck","bw1",0.36,"Rare","Naoyo Kimura"
"bw1-19","Emboar","bw1",0.66,"Rare Holo","Kouki Saitou"
"bw1-20","Emboar","bw1",1.95,"Rare Holo","5ban Graphics"
"bw1-25","Darmanitan","bw1",0.2,"Rare","Naoki Saito"
"bw1-26","Reshiram","bw1",1.53,"Rare Holo","5ban Graphics"
"bw1-31","Samurott","bw1",1.25,"Rare Holo","Masakazu Fukuda"
"bw1-32","Samurott","bw1",2.16,"Rare Holo","5ban Graphics"
"bw1-37","Swanna","bw1",0.56,"Rare","Naoyo Kimura"
"bw1-39","Alomomola","bw1",0.72,"Rare","Naoyo Kimura"
"bw1-43","Zebstrika","bw1",0.72,"Rare","Masakazu Fukuda"
"bw1-46","Galvantula","bw1",0.26,"Rare","Mitsuhiro Arita"
"bw1-47","Zekrom","bw1",2.4,"Rare Holo","5ban Graphics"
"bw1-49","Musharna","bw1",0.34,"Rare","Masakazu Fukuda"
"bw1-5","Serperior","bw1",1.4,"Rare Holo","Kagemaru Himeno"
"bw1-54","Scolipede","bw1",0.36,"Rare","Masakazu Fukuda"
"bw1-57","Reuniclus","bw1",0.91,"Rare Holo","5ban Graphics"
"bw1-6","Serperior","bw1",2.44,"Rare Holo","5ban Graphics"
"bw1-61","Throh","bw1",0.27,"Rare","Mitsuhiro Arita"
"bw1-62","Sawk","bw1",0.37,"Rare","Naoki Saito"
"bw1-65","Krookodile","bw1",1.35,"Rare Holo","Masakazu Fukuda"
"bw1-67","Liepard","bw1",1.11,"Rare","Mitsuhiro Arita"
"bw1-69","Scrafty","bw1",1.04,"Rare","Shin Nagasawa"
"bw1-71","Zoroark","bw1",2.09,"Rare Holo","Naoki Saito"
"bw1-73","Mandibuzz","bw1",0.46,"Rare","Kouki Saitou"
"bw1-76","Klinklang","bw1",2.1,"Rare Holo","5ban Graphics"
"bw1-83","Stoutland","bw1",0.48,"Rare","match"
"bw1-86","Unfezant","bw1",0.42,"Rare","Kagemaru Himeno"
"bw1-89","Cinccino","bw1",0.43,"Rare","Kagemaru Himeno"
"bw1-91","Bouffalant","bw1",0.83,"Rare","Kouki Saitou"
"bw10-10","Genesect","bw10",0.44,"Rare","Masakazu Fukuda"
"bw10-100","Palkia-EX","bw10",135,"Rare Ultra","5ban Graphics"
"bw10-102","Exeggcute","bw10",300,"Rare Secret","5ban Graphics"
"bw10-103","Virizion","bw10",99.99,"Rare Secret","Ayaka Yoshida"
"bw10-104","Dusknoir","bw10",38.66,"Rare Secret","Ayaka Yoshida"
"bw10-11","Genesect-EX","bw10",0,"Rare Holo EX","Eske Yoshinob"
"bw10-13","Volcarona","bw10",0.65,"Rare","5ban Graphics"
"bw10-16","Blastoise","bw10",3.9,"Rare Holo","Satoshi Shirai"
"bw10-2","Masquerain","bw10",0.58,"Rare","5ban Graphics"
"bw10-20","Suicune","bw10",1.56,"Rare","kawayoo"
"bw10-23","Froslass","bw10",0.41,"Rare","5ban Graphics"
"bw10-28","Carracosta","bw10",0.93,"Rare","Mitsuhiro Arita"
"bw10-30","Kyurem-EX","bw10",0,"Rare Holo EX","Eske Yoshinob"
"bw10-33","Eelektross","bw10",1.25,"Rare Holo","5ban Graphics"
"bw10-35","Drifblim","bw10",0.49,"Rare","Akira Komayama"
"bw10-36","Uxie","bw10",0.7,"Rare","Sumiyoshi Kizuki"
"bw10-37","Mesprit","bw10",1.62,"Rare Holo","Ryo Ueda"
"bw10-38","Azelf","bw10",0.37,"Rare","Naoyo Kimura"
"bw10-4","Cradily","bw10",0.8,"Rare","kawayoo"
"bw10-41","Sigilyph","bw10",0.75,"Rare Holo","Kagemaru Himeno"
"bw10-44","Reuniclus","bw10",0.99,"Rare","Kagemaru Himeno"
"bw10-46","Golurk","bw10",1.25,"Rare Holo","Akira Komayama"
"bw10-49","Machamp","bw10",1.67,"Rare Holo","Naoki Saito"
"bw10-50","Machamp","bw10",0.99,"Rare","Kouki Saitou"
"bw10-54","Archeops","bw10",2.37,"Rare Holo","Kouki Saitou"
"bw10-56","Houndoom","bw10",2.3,"Rare Holo","Shin Nagasawa"
"bw10-59","Aggron","bw10",0.77,"Rare","Kouki Saitou"
"bw10-60","Jirachi-EX","bw10",9.99,"Rare Holo EX","Ryo Ueda"
"bw10-61","Escavalier","bw10",0.5,"Rare","5ban Graphics"
"bw10-64","Salamence","bw10",2.68,"Rare Holo","Naoki Saito"
"bw10-65","Dialga-EX","bw10",11.25,"Rare Holo EX","Eske Yoshinob"
"bw10-66","Palkia-EX","bw10",0,"Rare Holo EX","Eske Yoshinob"
"bw10-69","Haxorus","bw10",2.31,"Rare Holo","Kouki Saitou"
"bw10-74","Porygon-Z","bw10",1.79,"Rare Holo","5ban Graphics"
"bw10-8","Accelgor","bw10",0.37,"Rare","5ban Graphics"
"bw10-9","Virizion-EX","bw10",6.65,"Rare Holo EX","Ryo Ueda"
"bw10-96","Virizion-EX","bw10",25.66,"Rare Ultra","Ryo Ueda"
"bw10-97","Genesect-EX","bw10",29,"Rare Ultra","5ban Graphics"
"bw10-98","Jirachi-EX","bw10",88.5,"Rare Ultra","5ban Graphics"
"bw10-99","Dialga-EX","bw10",72.5,"Rare Ultra","5ban Graphics"
"bw11-100","Black Kyurem-EX","bw11",5.47,"Rare Holo EX","Eske Yoshinob"
"bw11-101","White Kyurem-EX","bw11",0,"Rare Holo EX","Eske Yoshinob"
"bw11-102","Lugia-EX","bw11",24.99,"Rare Holo EX","Toyste Beach"
"bw11-105","Cinccino","bw11",0,"Rare Holo","Mitsuhiro Arita"
"bw11-108","Tornadus","bw11",1.2,"Rare Holo","Miki Tanaka"
"bw11-114","Reshiram","bw11",164.98,"Rare Secret","5ban Graphics"
"bw11-115","Zekrom","bw11",0,"Rare Secret","5ban Graphics"
"bw11-12","Leavanny","bw11",1.97,"Rare Holo","match"
"bw11-15","Virizion","bw11",1.8,"Rare Holo","Atsuko Nishida"
"bw11-16","Genesect","bw11",2.45,"Rare Holo","Ayaka Yoshida"
"bw11-19","Charizard","bw11",42.72,"Rare Holo","TOKIYA"
"bw11-2","Tangrowth","bw11",0.83,"Rare","Kagemaru Himeno"
"bw11-21","Ninetales","bw11",0.87,"Rare","Satoshi Shirai"
"bw11-22","Moltres","bw11",0,"Rare Holo","Mitsuhiro Arita"
"bw11-23","Victini","bw11",3.04,"Rare Holo","Tomokazu Komiya"
"bw11-24","Victini-EX","bw11",3.15,"Rare Holo EX","Eske Yoshinob"
"bw11-27","Emboar","bw11",9.97,"Rare Holo","Kanako Eo"
"bw11-28","Reshiram","bw11",7.99,"Rare Holo","Aya Kusube"
"bw11-29","Reshiram-EX","bw11",6.95,"Rare Holo EX","Shizurow"
"bw11-31","Gyarados","bw11",0.95,"Rare","hatachu"
"bw11-32","Articuno","bw11",4.75,"Rare Holo","Kagemaru Himeno"
"bw11-35","Empoleon","bw11",1.65,"Rare","kawayoo"
"bw11-36","Phione","bw11",0.92,"Rare","kawayoo"
"bw11-39","Samurott","bw11",3,"Rare Holo","Naoki Saito"
"bw11-42","Seismitoad","bw11",0.43,"Rare","Hajime Kusajima"
"bw11-43","Kyurem","bw11",2.86,"Rare Holo","Midori Harada"
"bw11-44","Kyurem-EX","bw11",2.75,"Rare Holo EX","Shizurow"
"bw11-45","Keldeo-EX","bw11",4.33,"Rare Holo EX","Toyste Beach"
"bw11-46","Zapdos","bw11",2.8,"Rare Holo","Kouki Saitou"
"bw11-50","Thundurus","bw11",1.4,"Rare Holo","Yukiko Baba"
"bw11-51","Zekrom","bw11",3.8,"Rare Holo","Kagemaru Himeno"
"bw11-52","Zekrom-EX","bw11",6.5,"Rare Holo EX","Shizurow"
"bw11-53","Mewtwo","bw11",9,"Rare Holo","Ayaka Yoshida"
"bw11-54","Mewtwo-EX","bw11",8,"Rare Holo EX","Shizurow"
"bw11-56","Xatu","bw11",0.57,"Rare","Kouki Saitou"
"bw11-58","Mismagius","bw11",0.65,"Rare","Sumiyoshi Kizuki"
"bw11-63","Toxicroak","bw11",0.69,"Rare","Naoki Saito"
"bw11-66","Sigilyph","bw11",1.25,"Rare Holo","Shigenori Negishi"
"bw11-68","Garbodor","bw11",2,"Rare Holo","Tomoaki Imakuni"
"bw11-72","Gothitelle","bw11",3.26,"Rare Holo","kawayoo"
"bw11-76","Reuniclus","bw11",0.68,"Rare","Kyoko Umemoto"
"bw11-77","Chandelure-EX","bw11",1,"Rare Holo EX","Ryo Ueda"
"bw11-78","Meloetta","bw11",4.98,"Rare Holo","kawayoo"
"bw11-8","Serperior","bw11",0,"Rare Holo","hatachu"
"bw11-80","Lucario","bw11",2.99,"Rare Holo","MAHOU"
"bw11-81","Gallade","bw11",0.73,"Rare","Hajime Kusajima"
"bw11-82","Excadrill-EX","bw11",5.93,"Rare Holo EX","Ryo Ueda"
"bw11-84","Terrakion","bw11",1.61,"Rare Holo","Shigenori Negishi"
"bw11-85","Landorus","bw11",2,"Rare Holo","Midori Harada"
"bw11-86","Meloetta","bw11",0.5,"Rare","Mizue"
"bw11-88","Darkrai-EX","bw11",6.98,"Rare Holo EX","Shizurow"
"bw11-90","Zoroark","bw11",2.24,"Rare Holo","match"
"bw11-91","Cobalion","bw11",0,"Rare Holo","Sumiyoshi Kizuki"
"bw11-93","Rayquaza","bw11",11.15,"Rare Holo","Shin Nagasawa"
"bw11-96","Garchomp","bw11",5.48,"Rare Holo","Masakazu Fukuda"
"bw11-99","Hydreigon","bw11",0,"Rare Holo","Tomokazu Komiya"
"bw11-RC11","Meloetta-EX","bw11",4.94,"Rare","Eske Yoshinob"
"bw11-RC21","Shaymin-EX","bw11",10.85,"Rare Ultra","Kanako Eo"
"bw11-RC22","Reshiram","bw11",35.41,"Rare Ultra","Kagemaru Himeno"
"bw11-RC23","Emolga","bw11",11.14,"Rare Ultra","Atsuko Nishida"
